date,client_type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2012-08-30,FII,307005,143077,198963,698864,363439,463590,247269,139486,1403,680,3269,796,1335080,1232761
2012-08-30,Pro,36894,104031,127475,126285,184535,141682,207928,251113,12231,14648,40257,15470,517465,745084
2012-08-30,TOTAL,527881,527881,1009161,1009161,997528,913074,997528,913074,76143,37071,76143,37071,3560858,3560858
2012-08-31,Client,178123,270955,701358,167079,388748,269657,602286,573789,85332,29086,45026,26605,1652304,1685740
2012-08-31,DII,22477,3633,6340,22200,133037,59927,0,0,35,0,0,0,221816,25833
2012-08-31,FII,272696,140472,201827,711711,391979,498805,268257,148339,6003,4387,7303,4956,1375697,1281038
2012-08-31,Pro,41270,99506,130687,139222,210932,184458,254153,290719,15329,18885,54370,20797,601561,858767
2012-08-31,TOTAL,514566,514566,1040212,1040212,1124696,1012847,1124696,1012847,106699,52358,106699,52358,3851378,3851378
2012-09-03,Client,188180,279646,723713,172558,446390,291336,642612,641356,103437,35172,54998,29984,1788228,1821154
2012-09-03,DII,22346,3822,7139,23849,133037,60085,0,0,35,0,0,0,222642,27671
2012-09-03,FII,266084,140795,201846,721489,430405,530528,289490,154502,7712,5928,8210,6074,1442503,1320560
2012-09-03,Pro,45101,97448,134890,149692,196595,215330,274325,301421,18754,20822,66730,25864,631492,915480
2012-09-03,TOTAL,521711,521711,1067588,1067588,1206427,1097279,1206427,1097279,129938,61922,129938,61922,4084865,4084865
2012-09-04,Client,188992,275081,732371,167963,480261,314967,674658,676448,111867,39033,61208,33319,1867491,1888677
2012-09-04,DII,22262,3822,7457,23677,133917,59928,0,0,60,0,0,0,223624,27499
2012-09-04,FII,245576,133585,198834,733239,438147,544990,293427,159208,9537,7758,10512,6640,1444842,1336611
2012-09-04,Pro,48626,92968,138756,152539,214112,232906,298352,317135,21092,21500,70836,28332,676992,960162
2012-09-04,TOTAL,505456,505456,1077418,1077418,1266437,1152791,1266437,1152791,142556,68291,142556,68291,4212949,4212949
2012-09-05,Client,199840,270804,747421,162733,541216,312652,702955,694193,133401,40517,67438,37302,1975047,1935425
2012-09-05,DII,22281,3245,7317,26499,133917,61068,0,0,60,0,0,0,224643,29744
2012-09-05,FII,237740,144694,194022,750272,444793,567684,303310,157667,10546,8453,13790,7881,1463238,1377614
2012-09-05,Pro,55559,96677,142910,152166,213586,250398,327247,339942,22195,26360,84974,30147,711008,1031153
2012-09-05,TOTAL,515420,515420,1091670,1091670,1333512,1191802,1333512,1191802,166202,75330,166202,75330,4373936,4373936
2012-09-06,Client,200487,256217,741517,159862,579070,340574,705553,733592,140133,44996,71705,39575,2046777,1966504
2012-09-06,DII,22979,3245,7388,29047,133924,61068,0,0,60,0,0,0,225419,32292
2012-09-06,FII,221141,141416,198964,749852,433083,610697,313589,185497,12391,9180,16146,8775,1485456,1415275
2012-09-06,Pro,54588,98317,143803,152911,223015,263094,349950,356344,24133,27046,88866,32872,735679,1079260
2012-09-06,TOTAL,499195,499195,1091672,1091672,1369092,1275433,1369092,1275433,176717,81222,176717,81222,4493331,4493331
2012-09-07,Client,192088,264294,720297,172355,510175,384829,735013,728379,133127,55534,74640,41160,1996050,2015841
2012-09-07,DII,23975,6109,7924,26653,133924,59883,0,0,60,0,0,0,225766,32762
2012-09-07,FII,249600,144157,209430,733104,468332,611017,290909,171937,13153,9765,16637,9011,1561297,1365755
2012-09-07,Pro,57998,109101,144646,150185,235187,231468,321696,386881,29727,25659,84790,40787,724685,1093440
2012-09-07,TOTAL,523661,523661,1082297,1082297,1347618,1287197,1347618,1287197,176067,90958,176067,90958,4507798,4507798
2012-09-10,Client,195319,252976,713955,178090,531849,424375,766615,783271,146487,61967,80132,45248,2073952,2106332
2012-09-10,DII,24211,5509,8762,26778,134824,69627,0,0,60,0,0,0,237484,32287
2012-09-10,FII,223736,136662,207309,729980,493824,621783,285908,179515,14335,10249,17807,10119,1571236,1359991
2012-09-10,Pro,62016,110135,150360,145538,235581,217277,343555,370276,30748,26812,93691,43661,722794,1106856
2012-09-10,TOTAL,505282,505282,1080386,1080386,1396078,1333062,1396078,1333062,191630,99028,191630,99028,4605466,4605466
2012-09-11,Client,199009,258648,715598,186030,519316,484740,789165,806865,151557,68473,83355,47754,2138693,2171817
2012-09-11,DII,23971,5509,9212,25684,134824,69627,0,0,60,0,0,0,237694,31193
